userId,pokemonId,rating
1,966,1.1
1,112,1.8
1,582,2.6
1,729,1.8
1,667,1.1
1,865,3.0
1,1001,4.9
1,135,1.7
1,772,2.6
1,499,1.4
1,23,1.8
1,550,2.8
1,781,2.9
1,560,4.5
1,123,1.2
1,265,1.7
1,145,2.2
1,204,2.1
1,760,1.6
1,71,2.0
1,3,1.5
1,637,1.5
1,701,1.6
1,195,2.3
1,998,1.0
1,269,2.0
1,494,2.9
1,479,1.3
1,934,1.5
1,390,2.7
1,912,1.1
1,879,1.6
1,198,4.1
1,434,4.6
1,185,2.1
1,170,2.4
1,784,2.4
1,630,4.1
1,49,1.9
1,464,2.3
1,906,2.8
1,999,2.1
1,232,2.8
1,839,2.2
1,949,1.8
1,207,1.5
1,544,2.1
1,820,2.6
1,180,2.7
1,157,1.6
1,653,1.6
1,880,2.3
1,209,1.1
1,294,2.3
1,102,2.6
1,578,1.2
1,69,2.8
1,334,2.7
1,255,1.5
1,926,2.3
1,759,1.1
1,122,2.1
1,321,1.5
1,184,1.4
1,617,2.0
1,325,1.7
1,41,1.1
1,535,2.5
1,815,2.3
1,87,2.7
1,655,2.8
1,627,2.0
1,222,2.5
1,515,1.0
1,176,2.2
1,793,2.8
1,819,1.2
1,476,2.7
1,612,1.4
1,946,2.9
1,330,2.4
1,169,2.9
1,248,4.7
1,601,1.8
1,413,1.6
1,72,2.4
1,663,1.3
1,835,1.8
1,944,2.6
1,773,3.0
1,487,2.4
1,46,3.0
1,823,2.4
1,780,2.9
1,403,1.4
1,305,1.2
1,789,2.4
1,642,1.6
1,481,3.0
1,938,2.6
1,152,2.7
1,764,2.1
1,573,1.7
1,281,2.2
1,697,1.3
1,206,1.2
1,788,3.0
1,270,1.6
1,551,4.1
1,163,1.9
1,489,2.9
1,589,1.1
1,818,2.3
1,322,2.2
1,1007,2.1
1,757,1.4
1,905,2.0
1,904,4.8
1,549,2.7
1,521,1.6
1,564,1.3
1,993,4.7
1,855,1.2
1,38,2.3
1,156,1.3
1,128,1.7
1,189,2.6
1,105,2.7
1,909,2.2
1,82,2.5
1,677,2.5
1,751,1.6
1,613,2.4
1,840,1.2
1,605,1.1
1,74,2.3
1,968,2.0
1,478,2.8
1,231,2.3
1,983,5.0
1,942,4.5
1,17,1.7
1,286,2.3
1,70,1.2
1,33,2.1
1,73,1.9
1,349,2.8
1,60,1.4
1,547,2.9
1,704,2.2
1,241,2.5
1,868,2.4
1,695,1.5
1,457,2.1
1,769,2.5
1,557,1.5
1,908,4.1
1,527,1.1
1,79,1.5
1,843,1.8
1,962,5.0
1,12,1.8
1,744,1.6
1,501,1.2
1,785,2.4
1,173,1.6
1,529,2.7
1,218,2.5
1,257,1.2
1,31,2.2
1,51,1.4
1,591,2.2
1,471,2.8
1,143,1.0
1,758,1.2
1,714,2.4
1,862,4.1
1,556,2.0
1,309,2.5
1,696,1.2
1,150,1.3
1,318,4.7
1,210,2.8
1,276,2.7
1,939,1.7
1,621,1.0
1,368,1.2
1,745,1.7
1,994,1.7
1,104,1.4
1,360,1.4
1,326,2.2
1,834,2.3
1,21,1.5
1,986,4.9
1,929,3.0
1,337,2.0
1,662,2.4
1,734,1.5
1,226,1.3
1,158,2.7
1,405,2.8
1,687,4.7
1,954,1.4
1,386,2.5
1,332,4.4
1,765,1.6
1,901,1.4
1,307,1.5
1,539,1.7
1,81,1.4
1,78,2.7
2,419,4.9
2,51,1.6
2,666,1.2
2,742,2.4
2,865,2.8
2,31,2.0
2,457,4.9
2,594,4.3
2,836,2.0
2,593,4.1
2,589,1.1
2,310,2.5
2,831,2.4
2,204,1.9
2,574,4.8
2,328,1.8
2,602,2.0
2,370,4.8
2,151,4.4
2,393,5.0
2,479,1.5
2,1000,2.9
2,973,2.4
2,792,4.8
2,952,4.1
2,78,4.6
2,785,1.7
2,771,4.3
2,728,4.5
2,868,2.1
2,782,2.5
2,274,2.3
2,336,1.6
2,682,1.4
2,84,1.9
2,58,4.0
2,870,2.0
2,469,1.6
2,91,4.5
2,689,4.7
2,879,1.0
2,239,1.2
2,134,4.7
2,257,4.7
2,599,2.4
2,495,2.9
2,13,1.3
2,704,2.2
2,760,1.6
2,571,1.8
2,793,1.5
2,296,2.7
2,435,1.7
2,148,1.9
2,346,2.0
2,533,2.1
2,303,2.3
2,230,4.9
2,696,1.6
2,258,4.6
2,400,4.7
2,109,1.8
2,118,4.9
2,466,2.4
2,144,2.4
2,136,4.9
2,857,4.0
2,990,1.6
2,301,2.1
2,191,1.8
2,320,4.5
2,158,4.4
2,194,4.4
2,960,4.4
2,366,4.2
2,559,1.4
2,663,4.9
2,523,2.5
2,77,4.2
2,669,2.3
2,88,1.6
2,316,1.9
2,553,1.3
2,860,2.6
2,779,4.4
2,40,2.7
2,279,4.1
2,161,2.7
2,786,4.4
2,278,4.3
2,474,2.9
2,326,4.7
2,1009,4.4
2,106,2.4
2,27,1.9
2,190,1.5
2,100,1.7
2,955,4.5
2,428,1.1
2,475,4.1
2,252,1.5
2,453,2.3
2,949,1.7
2,992,1.5
2,770,2.2
2,317,1.0
2,349,4.3
2,71,1.1
2,295,1.5
2,861,2.1
2,137,2.0
2,876,4.5
2,342,4.4
2,662,4.8
2,616,1.4
2,773,1.7
2,498,4.5
2,910,5.0
2,824,1.3
2,398,1.5
2,697,3.0
2,549,2.6
2,527,4.3
2,627,1.5
2,120,4.2
2,160,4.4
2,189,1.1
2,547,1.7
2,1008,2.6
2,166,2.3
2,642,1.6
2,922,2.2
2,369,4.1
2,52,2.9
2,558,1.7
2,168,1.5
2,525,2.3
2,569,1.0
2,259,4.7
2,788,4.8
2,15,2.9
2,961,4.4
2,263,2.9
2,66,1.7
2,415,1.2
2,354,1.9
2,762,2.6
2,1003,1.4
2,736,1.1
2,575,4.5
2,864,2.7
2,871,1.7
2,260,4.2
2,16,2.1
2,250,4.6
2,579,4.6
2,206,1.1
2,942,1.2
2,914,4.2
2,568,1.8
2,116,4.2
2,408,2.6
2,90,4.0
2,234,1.8
2,327,2.2
2,488,4.3
2,448,1.4
2,927,2.6
2,808,1.1
2,702,1.1
2,962,2.5
2,529,1.7
2,977,4.3
2,724,2.5
2,133,2.9
2,64,4.4
2,620,2.4
2,835,1.2
2,543,1.9
2,732,2.1
2,283,4.9
2,229,4.5
2,126,4.3
2,458,4.3
2,670,1.7
2,526,2.7
2,127,1.7
2,745,2.4
2,418,4.6
2,246,1.1
2,61,4.8
2,104,2.5
2,485,4.2
2,11,1.7
2,633,2.2
2,934,1.8
2,497,2.0
2,53,2.2
2,612,2.9
2,979,1.3
2,562,2.4
2,611,2.0
2,691,1.6
2,501,4.2
2,734,2.0
2,20,2.0
2,62,4.7
2,356,1.3
3,44,2.6
3,42,2.8
3,986,1.4
3,376,1.4
3,29,1.8
3,908,1.1
3,992,1.6
3,12,1.2
3,226,1.3
3,755,2.9
3,296,2.6
3,285,2.4
3,673,2.7
3,284,1.3
3,668,2.2
3,558,1.3
3,553,2.4
3,205,2.0
3,656,2.8
3,211,1.0
3,536,1.1
3,165,1.8
3,9,2.2
3,68,1.7
3,208,2.2
3,562,4.2
3,568,2.4
3,538,2.2
3,901,2.4
3,890,2.8
3,639,2.1
3,741,1.1
3,932,1.0
3,761,1.4
3,8,2.6
3,26,2.5
3,320,2.8
3,127,3.0
3,40,2.5
3,626,2.1
3,129,1.7
3,339,2.0
3,938,2.7
3,15,1.5
3,940,2.5
3,941,1.7
3,52,2.6
3,84,1.1
3,752,1.1
3,490,2.4
3,166,1.2
3,37,1.7
3,292,4.3
3,695,2.8
3,819,2.5
3,620,1.8
3,298,1.4
3,169,2.2
3,89,2.7
3,242,1.8
3,136,1.6
3,687,2.9
3,448,1.1
3,548,1.4
3,344,1.8
3,130,2.7
3,92,4.2
3,589,1.4
3,749,2.7
3,105,2.0
3,138,1.5
3,190,2.9
3,495,2.5
3,247,2.6
3,63,1.1
3,325,1.3
3,658,2.1
3,326,1.5
3,896,2.1
3,485,1.6
3,108,1.3
3,713,1.6
3,201,2.9
3,805,2.2
3,906,1.4
3,664,1.3
3,494,1.7
3,333,1.1
3,969,2.3
3,322,2.2
3,65,1.4
3,259,2.8
3,269,2.3
3,551,1.8
3,666,1.5
3,863,2.1
3,409,1.1
3,824,2.7
